vel,flux,fluxerr
-2094.9191872546994,-0.04198590058562912,0.045646
-2039.7540983606673,-0.009493851263152386,0.0454839
-1984.6236435003527,0.008627041574315264,0.0453748
-1929.4620180096672,-0.05253102475170568,0.0453182
-1874.2969291156983,-0.09874897542923167,0.0462936
-1819.1664742553837,0.061671917408236965,0.0492112
-1764.0013853613516,-0.13977603326928634,0.05208429999999999
-1708.870930501037,-0.03188514043181723,0.0565326
-1653.7404756407225,-0.07357424759434927,0.0618393
-1598.5753867466904,-0.03247219827187253,0.0672321
-1543.4483952897856,-0.004291421082908364,0.07324549999999999
-1488.317940429471,-0.01911052824543802,0.0793479
-1433.1874855691565,-0.03450963540797103,0.0847646
-1378.057030708842,-0.11249874257050374,0.0902775
-1322.9265758485274,-0.013257849733032234,0.095748
-1267.7961209882128,0.02050304310443396,0.09916330000000001
-1212.6656661278982,0.04899393587935341,0.103311
-1157.5352112675837,0.0109748218474226,0.103717
-1102.4393904409867,-0.025815591757710532,0.10555600000000001
-1047.3089355806721,0.01739430852429047,0.103621
-992.2096513507286,-0.09348810461209567,0.101572
-937.079196490414,0.20676217233842342,0.09784960000000001
-881.983375663817,0.121111172161815,0.09226229999999999
-826.8529208035025,0.054085265590759324,0.0852071
-771.7570999769055,0.11161348820647099,0.0790245
-716.6612791503085,0.26138442392182215,0.0729388
-661.5308242899939,0.29568862517848826,0.061848600000000004
-606.4350034633969,0.4263736412878183,0.059354500000000004
-551.3357192334533,0.43866779173935067,0.066047
-496.2398984068563,0.5732843884097898,0.079302
-441.14407758025925,0.3171520180530849,0.0931953
-386.04825675366226,0.3905208490429972,0.0990583
-330.9836065573732,0.3503109692642927,0.09852509999999999
-275.88778573077616,0.3695859262952923,0.103728
-220.79196490417917,0.15958239163019794,0.10580300000000001
-165.73077811129968,0.23426207038423952,0.10246100000000001
-110.6314938812931,0.2080994720083038,0.10573899999999999
-55.570307088413585,0.2770825872638274,0.107145
-0.47448626181656234,0.10521274354702426,0.09874110000000001
54.590163934409496,0.03562183674933772,0.0995719
109.65135072728901,0.19118763863963473,0.10367
164.747171553886,0.20284193619512125,0.09411230000000001
219.81182175017508,0.31668441960440585,0.09084629999999999
274.8730085430546,0.5906985934910813,0.0967123
329.93765873934365,0.623005119316475,0.0885221
384.99884553222313,0.7031545493953031,0.08006540000000001
440.06349572844925,0.7620915685907979,0.0844602
495.12468252132874,0.5365086736277953,0.0821243
550.1546986839003,0.26764824923075237,0.0710342
605.2158854767798,0.09329590071952154,0.0695505
660.2805356730688,0.29000722976123283,0.0731836
715.3070884322308,-0.08621484718484052,0.0656549
770.3717386285199,0.11055267866100582,0.059518400000000006
825.3982913876819,0.031161638821438853,0.0615785
880.462941583908,0.05859203027029514,0.0612529
935.4894943431328,-0.03693900170305087,0.0543204
990.5195105056414,-0.050210246870564745,0.051787
1045.5841607019306,0.10093954916192649,0.0550724
1100.6107134610925,-0.0846007328671563,0.05338
1155.6407296236641,0.026483960806677587,0.0499329
1210.6707457861726,0.08441429201696904,0.050186600000000005
1265.6972985453976,0.12219635055152578,0.054184699999999995
1320.6926806741885,0.08579756503648861,0.0548495
1375.7226968367602,0.015239911656077965,0.0518615
1430.749249595922,0.006952145471424753,0.0484209
1485.7792657584937,-0.003945507908984958,0.0504386
1540.7746478873478,-0.11594428933182677,0.0533943
1595.8046640498562,0.028018057287760634,0.0534679
1650.8000461787103,0.11030927586492023,0.049905200000000004
1705.8265989378722,0.07652150968026517,0.0464637
1760.8219810667263,0.020982728257422423,0.0452384
1815.8173631955804,-0.00022605316541790543,0.0447261
1870.8473793580888,0.03796629558201614,0.0447575
1925.842761486943,0.009097794653980085,0.044724799999999995
1980.838143615797,0.10339567020769058,0.044938200000000005
